,Cryptocurrency Regulation Analysis
USA,7.6
AFGHANISTAN,1.9
ALBANIA,5.8
ALGERIA,1.2
ANDORRA,3.5
ANGOLA,4.9
ANTIGUA and BARBUDA,2.7
ARGENTINA,6.9
ARMENIA,2.5
AUSTRALIA,6.7
AUSTRIA,7.2
AZERBAIJAN,2.9
BAHAMAS,3
BAHRAIN,2.8
BANGLADESH,2.6
BARBADOS,3.3
BELARUS,2.6
BELGIUM,7
BELIZE,3.1
BENIN,2.4
BERMUDAS,3.3
BHUTAN,2.5
BOLIVIA,1
BOSNIA,4.6
BOTSWANA,2.4
BRAZIL,6.5
BRUNEI,5.1
BULGARIA,7.4
BURKINA FASO,1.9
BURUNDI,1.2
CAMBODIA,4.1
CAMEROON,2
CANADA,4.3
CAPE VERDE,2.7
CHILE,6.7
CHINA ,5.9
COLOMBIA,5
COMOROS,2.1
"CONGO, DEMOCRATIC REPUBLIC",2.7
"CONGO,REPUBLIC",1.4
COSTA RICA,6.8
COTE d' IVOIRE,1.3
CROATIA,6
CUBA,0.7
CYPRUS,7.4
CZECH REPUBLIC,7.4
DENMARK,6.6
DJIBOUTI,1.9
DOMINICA,2.1
DOMINICAN REPUBLIC,2.7
ECUADOR,2.7
EGYPT,2.3
EL SALVADOR,4.9
EQUATORIAL GUINEA,2.1
ERITREA,1
ESTONIA,6.5
ESWATINI,-1
ETHIOPIA,0.8
FIJI,2.5
FINLAND,6.4
FRANCE,7.8
GABON,2.3
GAMBIA,2
GEORGIA,3.9
GERMANY,6.4
GHANA,2.4
GIBRALTAR,3.7
GREECE,6.4
GRENADA,2.5
GUATEMALA,1.9
GUINEA,1.3
GUINEA-BISSAU,1.5
GUYANA,1.1
HAITI,1.4
HONG KONG,6.6
HONDURAS,1.8
HUNGARY,6.2
ICELAND,5.1
INDIA,6.4
INDONESIA,4.6
IRAN,2.5
IRAQ,1
IRELAND,7.3
ISRAEL,5.7
ITALY,6.8
JAMAICA,5.7
JAPAN,6.2
JORDAN,2.8
KAZAKHSTAN,3.3
KENYA,2.1
KIRIBATI,2.5
KOREA(REPUBLIC),5.5
KUWAIT,2.7
KYRGYZSTAN,4.3
LAOS,1.2
LATVIA,3.1
LEBANON,3.8
LESOTHO,1.7
LIBERIA,1
LIBYA,1.1
LIECHTESTAIN,3.6
LITHUANIA,6.9
LUXEMBOURG,6.4
MADAGASCAR,1.8
MALAWI,1.5
MALAYSIA,5.4
MALDIVES,2.3
MALI,1
MALTA,7.9
MARSHALL ISLANDS,3.2
MAURITANIA,1.9
MAURITIUS,5.9
MEXICO,7.2
"MICRONESIA,FEDERATED STATES OF",1.9
MOLDOVA,1.2
MONACO,2.9
MONGOLIA,2.1
MONTENEGRO,2.2
MOROCCO,1.5
MOZAMBIQUE,1.5
MYANMAR,0.6
NAMIBIA,4.5
NAURU,1.5
NEPAL,0.7
NETHERLANDS,7.9
NEW ZEALAND,4.9
NICARAGUA,4.6
NIGER ,1.5
NIGERIA,4.8
NORTH MACEDONIA,1.6
NORWAY,5.3
OMAN,1.7
PAKISTAN,5
PANAMA,2.6
PAPUA NEW GUINEA,1.4
PARAGUAY,2.4
PERU,2.7
PHILIPPINES,6.1
POLAND,6.9
PORTUGAL,6.8
QATAR,3.5
ROMANIA,7.3
RUSSIA,5.1
RWANDA,0.9
SAINT KITTS AND NEVIS,3.1
SAINT LUCIA,2.1
SAINT VINCENT AND THE GRENADINES,2.8
SAMOA,1.7
SAN MARINO,2.1
SAO TOME AND PRINCIPE,1.7
SAUDI ARABIA,3.5
SENEGAL,1.7
SERBIA,1.3
SEYCHELLES,2.7
SIERRA LEONE,1
SINGAPORE,5.6
SLOVAKIA,5.6
SLOVENIA,7.6
SOLOMON ISLANDS,2.2
SOMALIA,1
SOUTH AFRICA,6.4
SPAIN,6.5
SRI LANKA,0.8
SUDAN,0.2
"SUDAN,SOUTH",0.5
SURINAME,1.1
SWEDEN,6
SWITZERLAND,6.3
SYRIA,1
TAIWAN,3.6
TAJIKISTAN,1.1
TANZANIA,3.9
THAILAND,5.3
TOGO,1.5
TONGA,1.5
TUNISIA,0.2
TURKEY,4.5
TURKMENISTAN,1.5
TUVALU,2.1
UAE,3.8
UGANDA,1.2
UK,6.2
UKRAINE,2.8
URUGUAY,2.2
UZBEKISTAN,4
VANUATU,0.6
VENEZUELA,5
VIETNAM,3.2
YEMEN,0.1
ZAMBIA,1.1
ZIMBABWE,3.8
TRINIDAD AND TOBAGO,3.3
CURACAO,2.9
CAYMAN ISLANDS,3
